dataset,datasetId,siteName,siteId,siteVisitName,siteVisitId,observationId,featureId,featureType,featureTypeId,materialSampleID,parameter,parameterId,result,resultId,resultUnit,resultUnitId,method,methodId,resultTime,instrumentId,instrumentType,instrumentTypeId
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAAYAL0003,http://linked.data.gov.au/dataset/ausplots/site-waayal0003,20190729,http://linked.data.gov.au/dataset/ausplots/sv-58780,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-taxon-waa020180,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa020180,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa020180,taxon,http://linked.data.gov.au/def/tern-cv/70646576-6dc7-4bc5-a9d8-c4c366850df0,Dianella revoluta R.Br. f. revoluta,https://id.biodiversity.org.au/instance/apni/51287565,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2019-07-29T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTASSD0010,http://linked.data.gov.au/dataset/ausplots/site-ntassd0010,20120923,http://linked.data.gov.au/dataset/ausplots/sv-53697,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-taxon-nta+004830,http://linked.data.gov.au/dataset/ausplots/veg_barcode-nta+004830,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-nta+004830,taxon,http://linked.data.gov.au/def/tern-cv/70646576-6dc7-4bc5-a9d8-c4c366850df0,Salsola tragus L.,https://id.biodiversity.org.au/instance/apni/51433253,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2012-09-23T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTASSD0009,http://linked.data.gov.au/dataset/ausplots/site-ntassd0009,20120922,http://linked.data.gov.au/dataset/ausplots/sv-53696,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-taxon-nta+004714,http://linked.data.gov.au/dataset/ausplots/veg_barcode-nta+004714,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-nta+004714,taxon,http://linked.data.gov.au/def/tern-cv/70646576-6dc7-4bc5-a9d8-c4c366850df0,Salsola tragus L.,https://id.biodiversity.org.au/instance/apni/51433253,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2012-09-22T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAFIN0029,http://linked.data.gov.au/dataset/ausplots/site-ntafin0029,20120923,http://linked.data.gov.au/dataset/ausplots/sv-53747,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-taxon-nta+004934,http://linked.data.gov.au/dataset/ausplots/veg_barcode-nta+004934,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-nta+004934,taxon,http://linked.data.gov.au/def/tern-cv/70646576-6dc7-4bc5-a9d8-c4c366850df0,Salsola tragus L.,https://id.biodiversity.org.au/instance/apni/51433253,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2012-09-23T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NSABHC0002,http://linked.data.gov.au/dataset/ausplots/site-nsabhc0002,20120531,http://linked.data.gov.au/dataset/ausplots/sv-53597,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-species_name-nsa00313,http://linked.data.gov.au/dataset/ausplots/veg_barcode-nsa00313,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-nsa00313,scientific name,http://linked.data.gov.au/def/tern-cv/56195246-ec5d-4050-a1c6-af786fbec715,Sclerolaena tricuspis,N/A,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2012-05-31T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAAVIB0004,http://linked.data.gov.au/dataset/ausplots/site-waavib0004,20160608,http://linked.data.gov.au/dataset/ausplots/sv-58504,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-species_name-waa++007466,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa++007466,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa++007466,scientific name,http://linked.data.gov.au/def/tern-cv/56195246-ec5d-4050-a1c6-af786fbec715,Vigna vexillata var. angustifolia,N/A,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2016-06-08T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SAAEYB0013,http://linked.data.gov.au/dataset/ausplots/site-saaeyb0013,20201015,http://linked.data.gov.au/dataset/ausplots/sv-58845,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-species_name-saa013947,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa013947,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa013947,scientific name,http://linked.data.gov.au/def/tern-cv/56195246-ec5d-4050-a1c6-af786fbec715,Hibbertia platyphylla subsp. platyphylla,N/A,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2020-10-15T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAANUL0001,http://linked.data.gov.au/dataset/ausplots/site-waanul0001,20140629,http://linked.data.gov.au/dataset/ausplots/sv-56966,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-species_name-waa++003777,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa++003777,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa++003777,scientific name,http://linked.data.gov.au/def/tern-cv/56195246-ec5d-4050-a1c6-af786fbec715,Vittadinia nullarborensis,N/A,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2014-06-29T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SAAEYB0013,http://linked.data.gov.au/dataset/ausplots/site-saaeyb0013,20201015,http://linked.data.gov.au/dataset/ausplots/sv-58845,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-species_name-saa020501,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa020501,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa020501,scientific name,http://linked.data.gov.au/def/tern-cv/56195246-ec5d-4050-a1c6-af786fbec715,Geranium sp.,N/A,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2020-10-15T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NSABBS0001,http://linked.data.gov.au/dataset/ausplots/site-nsabbs0001,20180511,http://linked.data.gov.au/dataset/ausplots/sv-58580,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-species_name-nsa014791,http://linked.data.gov.au/dataset/ausplots/veg_barcode-nsa014791,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-nsa014791,scientific name,http://linked.data.gov.au/def/tern-cv/56195246-ec5d-4050-a1c6-af786fbec715,Asteraceae,N/A,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2018-05-11T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SAAEYB0013,http://linked.data.gov.au/dataset/ausplots/site-saaeyb0013,20201015,http://linked.data.gov.au/dataset/ausplots/sv-58845,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-species_name-saa013969,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa013969,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa013969,scientific name,http://linked.data.gov.au/def/tern-cv/56195246-ec5d-4050-a1c6-af786fbec715,Dodonaea humilis,N/A,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2020-10-15T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAAYAL0007,http://linked.data.gov.au/dataset/ausplots/site-waayal0007,20190826,http://linked.data.gov.au/dataset/ausplots/sv-58819,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-species_name-waa022022,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa022022,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa022022,scientific name,http://linked.data.gov.au/def/tern-cv/56195246-ec5d-4050-a1c6-af786fbec715,Maireana tomentosa subsp. tomentosa,N/A,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2019-08-26T00:00:00Z,N/A,N/A,N/A
