taxonID,scientificNameID,scientificName,scientificNameAuthorship,acceptedNameID,acceptedName,nameAccordingToID,nameAccordingTo,namePublishedInID,namePublishedIn,namePublishedInYear,originalNameUsageID,originalNameUsage,parentNameUsageID,parentNameUsage,conceptID,nomenclaturalStatus,nomenclaturalCode,taxonomicStatus,higherClassification,kingdom,class,order,family,subfamily,genus,subgenus,phylum,specificEpithet,cultivarEpithet,genericName,infragenericEpithet,infraspecificEpithet,taxonRank,taxonRemarks,verbatimTaxonRank,vernacularName
https://id.biodiversity.org.au/instance/apni/946946,https://id.biodiversity.org.au/name/apni/135561,Cyperus sp. B,,https://id.biodiversity.org.au/node/apni/2916092,Cyperus astartodes K.L.Wilson,https://id.biodiversity.org.au/reference/apni/52462,"CHAH (2012), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/946946,[n/a],ICN,taxonomic synonym,Plantae|Charophyta|Equisetopsida|Magnoliidae|Lilianae|Poales|Cyperaceae|Cyperus|astartodes,Plantae,Equisetopsida,,,,,,,,,,,,,,,
https://id.biodiversity.org.au/instance/apni/51373227,https://id.biodiversity.org.au/name/apni/51373224,Sida sp. (Musselbrook M.B.Thomas+ MRS437),,https://id.biodiversity.org.au/node/apni/2894626,Sida sp. Musselbrook (M.B.Thomas+ MRS437) Qld Herbarium,https://id.biodiversity.org.au/reference/apni/52462,"CHAH (2012), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/51373227,[n/a],ICN,taxonomic synonym,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Malvales|Malvaceae|Sida|sp. Musselbrook (M.B.Thomas+ MRS437),Plantae,Equisetopsida,,,,,,,,,,,,,,,
https://id.biodiversity.org.au/instance/apni/855386,https://id.biodiversity.org.au/name/apni/205469,Scaevola sp. Esperance (W.R.Archer 2512952) WA Herbarium,WA Herbarium,https://id.biodiversity.org.au/node/apni/2899954,Scaevola archeriana L.W.Sage,https://id.biodiversity.org.au/reference/apni/42108,"Sage, L.W. (14 December 2004), Scaevola archeriana (Goodeniaceae), a new species from the Esperance Plains bioregion of Western Australia. Telopea 10(4)",,,,,,,,https://id.biodiversity.org.au/instance/apni/855386,[n/a],ICN,taxonomic synonym,Plantae|Charophyta|Equisetopsida|Magnoliidae|Asteranae|Asterales|Goodeniaceae|Scaevola|archeriana,Plantae,Equisetopsida,,,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2899666,https://id.biodiversity.org.au/name/apni/74968,Ficus aculeata A.Cunn. ex Miq. var. aculeata,,https://id.biodiversity.org.au/node/apni/2899666,Ficus aculeata A.Cunn. ex Miq. var. aculeata,https://id.biodiversity.org.au/reference/apni/44741,"Dixon, D.J. (23 November 2007), Ficus carpentariensis - a new sandpaper fig for northern Australia and a revision of the F. opposita complex (Moraceae: Ficus subg. Ficus sect. Sycidium informal group F. copiosa). Nuytsia 16(2)",,,,,,,,https://id.biodiversity.org.au/instance/apni/620638,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Rosales|Moraceae|Ficus|aculeata|aculeata,Plantae,Equisetopsida,,Moraceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2890256,https://id.biodiversity.org.au/name/apni/74961,Ficus aculeata A.Cunn. ex Miq.,A.Cunn. ex Miq.,https://id.biodiversity.org.au/node/apni/2890256,Ficus aculeata A.Cunn. ex Miq.,https://id.biodiversity.org.au/reference/apni/46762,"CHAH (2008), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/633005,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Rosales|Moraceae|Ficus|aculeata,Plantae,Equisetopsida,,Moraceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/instance/apni/850042,https://id.biodiversity.org.au/name/apni/202367,Goodenia sp. E,,https://id.biodiversity.org.au/node/apni/2906653,Goodenia berardiana (Gaudich.) Carolin,https://id.biodiversity.org.au/reference/apni/42942,"CHAH (2006), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/850042,[n/a],ICN,taxonomic synonym,Plantae|Charophyta|Equisetopsida|Magnoliidae|Asteranae|Asterales|Goodeniaceae|Goodenia|berardiana,Plantae,Equisetopsida,,,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2904053,https://id.biodiversity.org.au/name/apni/71773,Acacia victoriae Benth.,Benth.,https://id.biodiversity.org.au/node/apni/2904053,Acacia victoriae Benth.,https://id.biodiversity.org.au/reference/apni/53841,"CHAH (2014), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/780908,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Fabales|Fabaceae|Acacia|victoriae,Plantae,Equisetopsida,,Fabaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2904246,https://id.biodiversity.org.au/name/apni/101005,Calotis erinacea Steetz,Steetz,https://id.biodiversity.org.au/node/apni/2904246,Calotis erinacea Steetz,https://id.biodiversity.org.au/reference/apni/49840,"CHAH (2011), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/743800,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Asteranae|Asterales|Asteraceae|Calotis|erinacea,Plantae,Equisetopsida,,Asteraceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2888932,https://id.biodiversity.org.au/name/apni/115231,Gnephosis arachnoidea Turcz.,Turcz.,https://id.biodiversity.org.au/node/apni/2888932,Gnephosis arachnoidea Turcz.,https://id.biodiversity.org.au/reference/apni/49840,"CHAH (2011), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/737165,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Asteranae|Asterales|Asteraceae|Gnephosis|arachnoidea,Plantae,Equisetopsida,,Asteraceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2906120,https://id.biodiversity.org.au/name/apni/78420,Plantago debilis R.Br.,R.Br.,https://id.biodiversity.org.au/node/apni/2906120,Plantago debilis R.Br.,https://id.biodiversity.org.au/reference/apni/49840,"CHAH (2011), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/717825,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Asteranae|Lamiales|Plantaginaceae|Plantago|debilis,Plantae,Equisetopsida,,Plantaginaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2905618,https://id.biodiversity.org.au/name/apni/68105,Stenopetalum lineare R.Br. ex DC.,R.Br. ex DC.,https://id.biodiversity.org.au/node/apni/2905618,Stenopetalum lineare R.Br. ex DC.,https://id.biodiversity.org.au/reference/apni/42942,"CHAH (2006), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/607048,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Brassicales|Brassicaceae|Stenopetalum|lineare,Plantae,Equisetopsida,,Brassicaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2904158,https://id.biodiversity.org.au/name/apni/83807,Crassula colorata var. acuminata (Reader) Toelken,(Reader) Toelken,https://id.biodiversity.org.au/node/apni/2904158,Crassula colorata var. acuminata (Reader) Toelken,https://id.biodiversity.org.au/reference/apni/44408,"CHAH (2007), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/646029,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Myrothamnanae|Saxifragales|Crassulaceae|Crassula|colorata|acuminata,Plantae,Equisetopsida,,Crassulaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2903408,https://id.biodiversity.org.au/name/apni/74083,Comesperma integerrimum Endl.,Endl.,https://id.biodiversity.org.au/node/apni/2903408,Comesperma integerrimum Endl.,https://id.biodiversity.org.au/reference/apni/49840,"CHAH (2011), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/695246,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Fabales|Polygalaceae|Comesperma|integerrimum,Plantae,Equisetopsida,,Polygalaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2893822,https://id.biodiversity.org.au/name/apni/93765,Calandrinia granulifera Benth.,Benth.,https://id.biodiversity.org.au/node/apni/2893822,Calandrinia granulifera Benth.,https://id.biodiversity.org.au/reference/apni/42942,"CHAH (2006), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/638621,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Caryophyllanae|Caryophyllales|Portulacaceae|Calandrinia|granulifera,Plantae,Equisetopsida,,Portulacaceae,,,,,,,,,,,,,
