dataset,datasetId,siteName,siteId,siteVisitName,siteVisitId,observationId,featureId,featureType,featureTypeId,materialSampleID,parameter,parameterId,result,resultId,resultUnit,resultUnitId,method,methodId,resultTime,instrumentId,instrumentType,instrumentTypeId
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTADAC0001,http://linked.data.gov.au/dataset/ausplots/site-ntadac0001,20130528,http://linked.data.gov.au/dataset/ausplots/sv-53518,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-oven_dried_weight-65032,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53518-soil_bulk_id-65032,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53518-soil_bulk_id-65032,soil oven dried weight,http://linked.data.gov.au/def/tern-cv/c86c4e7f-5dc3-4a88-b5f6-88f5bc0973cd,433.89,N/A,Gram,http://qudt.org/vocab/unit/GM,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2013-05-28T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAGFU0005,http://linked.data.gov.au/dataset/ausplots/site-ntagfu0005,20120416,http://linked.data.gov.au/dataset/ausplots/sv-53652,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-oven_dried_weight-65193,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53652-soil_bulk_id-65193,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53652-soil_bulk_id-65193,soil oven dried weight,http://linked.data.gov.au/def/tern-cv/c86c4e7f-5dc3-4a88-b5f6-88f5bc0973cd,543.96,N/A,Gram,http://qudt.org/vocab/unit/GM,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2012-04-16T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAFIN0011,http://linked.data.gov.au/dataset/ausplots/site-ntafin0011,20111020,http://linked.data.gov.au/dataset/ausplots/sv-53631,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-oven_dried_weight-65164,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53631-soil_bulk_id-65164,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53631-soil_bulk_id-65164,soil oven dried weight,http://linked.data.gov.au/def/tern-cv/c86c4e7f-5dc3-4a88-b5f6-88f5bc0973cd,484.86,N/A,Gram,http://qudt.org/vocab/unit/GM,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2011-10-20T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0027,http://linked.data.gov.au/dataset/ausplots/site-waacoo0027,20140121,http://linked.data.gov.au/dataset/ausplots/sv-53455,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-oven_dried_weight-65424,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53455-soil_bulk_id-65424,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53455-soil_bulk_id-65424,soil oven dried weight,http://linked.data.gov.au/def/tern-cv/c86c4e7f-5dc3-4a88-b5f6-88f5bc0973cd,346.74,N/A,Gram,http://qudt.org/vocab/unit/GM,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2014-01-21T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAGFU0026,http://linked.data.gov.au/dataset/ausplots/site-ntagfu0026,20120612,http://linked.data.gov.au/dataset/ausplots/sv-53673,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-fine_earth_volume-65229,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53673-soil_bulk_id-65229,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53673-soil_bulk_id-65229,fine earth volume,http://linked.data.gov.au/def/tern-cv/05304603-1f89-4734-b929-57d7c64a56db,209.35,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2012-06-12T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SAASTP0004,http://linked.data.gov.au/dataset/ausplots/site-saastp0004,20120701,http://linked.data.gov.au/dataset/ausplots/sv-53722,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-fine_earth_volume-65296,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53722-soil_bulk_id-65296,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53722-soil_bulk_id-65296,fine earth volume,http://linked.data.gov.au/def/tern-cv/05304603-1f89-4734-b929-57d7c64a56db,209.35,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2012-07-01T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDACYP0010,http://linked.data.gov.au/dataset/ausplots/site-qdacyp0010,20180614,http://linked.data.gov.au/dataset/ausplots/sv-58595,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-fine_earth_volume-67000,http://linked.data.gov.au/dataset/ausplots/site_visit_id-58595-soil_bulk_id-67000,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-58595-soil_bulk_id-67000,fine earth volume,http://linked.data.gov.au/def/tern-cv/05304603-1f89-4734-b929-57d7c64a56db,205.35,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2018-06-14T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAGFU0003,http://linked.data.gov.au/dataset/ausplots/site-ntagfu0003,20120414,http://linked.data.gov.au/dataset/ausplots/sv-53650,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-fine_earth_volume-65189,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53650-soil_bulk_id-65189,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53650-soil_bulk_id-65189,fine earth volume,http://linked.data.gov.au/def/tern-cv/05304603-1f89-4734-b929-57d7c64a56db,209.35,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2012-04-14T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAGFU0011,http://linked.data.gov.au/dataset/ausplots/site-ntagfu0011,20120510,http://linked.data.gov.au/dataset/ausplots/sv-53658,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-gravel_volume-65205,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53658-soil_bulk_id-65205,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53658-soil_bulk_id-65205,gravel volume,http://linked.data.gov.au/def/tern-cv/48f31b89-9367-4059-8c2b-cb3e0f1d9045,0.0,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2012-05-10T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAGFU0010,http://linked.data.gov.au/dataset/ausplots/site-ntagfu0010,20120509,http://linked.data.gov.au/dataset/ausplots/sv-53657,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-gravel_volume-65202,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53657-soil_bulk_id-65202,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53657-soil_bulk_id-65202,gravel volume,http://linked.data.gov.au/def/tern-cv/48f31b89-9367-4059-8c2b-cb3e0f1d9045,0.0,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2012-05-09T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAGFU0017,http://linked.data.gov.au/dataset/ausplots/site-ntagfu0017,20120517,http://linked.data.gov.au/dataset/ausplots/sv-53664,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-gravel_volume-65219,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53664-soil_bulk_id-65219,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53664-soil_bulk_id-65219,gravel volume,http://linked.data.gov.au/def/tern-cv/48f31b89-9367-4059-8c2b-cb3e0f1d9045,0.0,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2012-05-17T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAFIN0016,http://linked.data.gov.au/dataset/ausplots/site-ntafin0016,20111109,http://linked.data.gov.au/dataset/ausplots/sv-53636,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-gravel_volume-65178,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53636-soil_bulk_id-65178,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53636-soil_bulk_id-65178,gravel volume,http://linked.data.gov.au/def/tern-cv/48f31b89-9367-4059-8c2b-cb3e0f1d9045,0.0,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2011-11-09T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTADAC0001,http://linked.data.gov.au/dataset/ausplots/site-ntadac0001,20130528,http://linked.data.gov.au/dataset/ausplots/sv-53518,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-gravel_volume-65032,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53518-soil_bulk_id-65032,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53518-soil_bulk_id-65032,gravel volume,http://linked.data.gov.au/def/tern-cv/48f31b89-9367-4059-8c2b-cb3e0f1d9045,0.0,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2013-05-28T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAGFU0016,http://linked.data.gov.au/dataset/ausplots/site-ntagfu0016,20120516,http://linked.data.gov.au/dataset/ausplots/sv-53663,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-gravel_volume-65218,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53663-soil_bulk_id-65218,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53663-soil_bulk_id-65218,gravel volume,http://linked.data.gov.au/def/tern-cv/48f31b89-9367-4059-8c2b-cb3e0f1d9045,0.0,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2012-05-16T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAGFU0005,http://linked.data.gov.au/dataset/ausplots/site-ntagfu0005,20120416,http://linked.data.gov.au/dataset/ausplots/sv-53652,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-gravel_volume-65193,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53652-soil_bulk_id-65193,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53652-soil_bulk_id-65193,gravel volume,http://linked.data.gov.au/def/tern-cv/48f31b89-9367-4059-8c2b-cb3e0f1d9045,0.0,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2012-04-16T00:00:00Z,N/A,N/A,N/A
