taxonID,scientificNameID,scientificName,scientificNameAuthorship,acceptedNameID,acceptedName,nameAccordingToID,nameAccordingTo,namePublishedInID,namePublishedIn,namePublishedInYear,originalNameUsageID,originalNameUsage,parentNameUsageID,parentNameUsage,conceptID,nomenclaturalStatus,nomenclaturalCode,taxonomicStatus,higherClassification,kingdom,class,order,family,subfamily,genus,subgenus,phylum,specificEpithet,cultivarEpithet,genericName,infragenericEpithet,infraspecificEpithet,taxonRank,taxonRemarks,verbatimTaxonRank,vernacularName
https://id.biodiversity.org.au/taxon/apni/51433090,https://id.biodiversity.org.au/name/apni/111578,Atriplex incrassata F.Muell.,F.Muell.,https://id.biodiversity.org.au/taxon/apni/51433090,Atriplex incrassata F.Muell.,https://id.biodiversity.org.au/reference/apni/51428473,"CHAH (7 July 2021), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/51433085,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Caryophyllanae|Caryophyllales|Chenopodiaceae|Atriplex|incrassata,Plantae,Equisetopsida,,Chenopodiaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2900768,https://id.biodiversity.org.au/name/apni/218091,Beyeria sulcata Halford & R.J.F.Hend. var. sulcata,,https://id.biodiversity.org.au/node/apni/2900768,Beyeria sulcata Halford & R.J.F.Hend. var. sulcata,https://id.biodiversity.org.au/reference/apni/47464,"Halford, D.A. & Henderson, R.J.F. (18 December 2008), A taxonomic revision of Beyeria Miq. (Euphorbiaceae: Ricinocarpeae, Ricinocarpinae). Austrobaileya 7(4)",,,,,,,,https://id.biodiversity.org.au/instance/apni/645394,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Malpighiales|Euphorbiaceae|Beyeria|sulcata|sulcata,Plantae,Equisetopsida,,Euphorbiaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/instance/apni/51291414,https://id.biodiversity.org.au/name/apni/3630558,Paspalum sp. 'Statute Bay' (G.N.Batianoff 651),,https://id.biodiversity.org.au/taxon/apni/51291416,Paspalum batianoffii B.K.Simon,https://id.biodiversity.org.au/reference/apni/9787312,"CHAH (31 July 2018), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/51291414,[n/a],ICN,taxonomic synonym,Plantae|Charophyta|Equisetopsida|Magnoliidae|Lilianae|Poales|Poaceae|Paspalum|batianoffii,Plantae,Equisetopsida,,,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2908630,https://id.biodiversity.org.au/name/apni/166873,Billardiera cymosa F.Muell. subsp. cymosa,,https://id.biodiversity.org.au/node/apni/2908630,Billardiera cymosa F.Muell. subsp. cymosa,https://id.biodiversity.org.au/reference/apni/44408,"CHAH (2007), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/645786,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Asteranae|Apiales|Pittosporaceae|Billardiera|cymosa|cymosa,Plantae,Equisetopsida,,Pittosporaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2914198,https://id.biodiversity.org.au/name/apni/78514,Dampiera lindleyi de Vriese,de Vriese,https://id.biodiversity.org.au/node/apni/2914198,Dampiera lindleyi de Vriese,https://id.biodiversity.org.au/reference/apni/42942,"CHAH (2006), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/608579,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Asteranae|Asterales|Goodeniaceae|Dampiera|lindleyi,Plantae,Equisetopsida,,Goodeniaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2888627,https://id.biodiversity.org.au/name/apni/76814,Lomandra filiformis (Thunb.) Britten,(Thunb.) Britten,https://id.biodiversity.org.au/node/apni/2888627,Lomandra filiformis (Thunb.) Britten,https://id.biodiversity.org.au/reference/apni/42942,"CHAH (2006), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/612032,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Lilianae|Asparagales|Asparagaceae|Lomandra|filiformis,Plantae,Equisetopsida,,Asparagaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2901658,https://id.biodiversity.org.au/name/apni/73665,Eucalyptus brownii Maiden & Cambage,Maiden & Cambage,https://id.biodiversity.org.au/node/apni/2901658,Eucalyptus brownii Maiden & Cambage,https://id.biodiversity.org.au/reference/apni/22010,"Chippendale, G.M. in George, A.S. (ed.) (27 June 1988), Eucalyptus. Flora of Australia 19",,,,,,,,https://id.biodiversity.org.au/instance/apni/454197,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Myrtales|Myrtaceae|Eucalyptus|brownii,Plantae,Equisetopsida,,Myrtaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2918854,https://id.biodiversity.org.au/name/apni/84599,Alysicarpus muelleri Schindl.,Schindl.,https://id.biodiversity.org.au/node/apni/2918854,Alysicarpus muelleri Schindl.,https://id.biodiversity.org.au/reference/apni/49840,"CHAH (2011), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/728535,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Fabales|Fabaceae|Alysicarpus|muelleri,Plantae,Equisetopsida,,Fabaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/taxon/apni/51412316,https://id.biodiversity.org.au/name/apni/75687,Pterostylis sargentii C.R.P.Andrews,C.R.P.Andrews,https://id.biodiversity.org.au/taxon/apni/51412316,Pterostylis sargentii C.R.P.Andrews,https://id.biodiversity.org.au/reference/apni/51316736,"CHAH (28 February 2018), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/51411696,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Lilianae|Asparagales|Orchidaceae|Pterostylis|sargentii,Plantae,Equisetopsida,,Orchidaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2886992,https://id.biodiversity.org.au/name/apni/196616,Gonocarpus sp. Thornton Peak (L.J.Brass+ 249) Qld Herbarium,Qld Herbarium,https://id.biodiversity.org.au/node/apni/2886992,Gonocarpus sp. Thornton Peak (L.J.Brass+ 249) Qld Herbarium,https://id.biodiversity.org.au/reference/apni/42312,"CHAH (2005), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/599330,[n/a],ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Myrothamnanae|Saxifragales|Haloragaceae|Gonocarpus|sp. Thornton Peak (L.J.Brass+ 249),Plantae,Equisetopsida,,Haloragaceae,,,,,,,,,,,,,
