dataset,datasetId,project,projectId,siteName,siteId,siteType,siteTypeId,parentSiteName,parentSiteId,topParentSiteName,topParentSiteId,dateCommissioned,description,polygonWkt,pointWkt,latitude,longitude,altitude,pointPositionWithinPlot,pointPositionWithinPlotId
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,NTABRT0002,http://linked.data.gov.au/dataset/ausplots/site-ntabrt0002,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,Alice Mulga,https://w3id.org/tern/resources/e729eba7-215a-4626-9d13-feece79c41ad,Alice Mulga,https://w3id.org/tern/resources/e729eba7-215a-4626-9d13-feece79c41ad,N/A,N/A,N/A,POINT(133.250631 -22.28366944),-22.283670,133.250600,N/A,Centroid,http://linked.data.gov.au/def/tern-cv/7e2e87b6-c9ec-43ac-92b0-1976fc623c0c
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,SASMDD0001,http://linked.data.gov.au/dataset/ausplots/site-sasmdd0001,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,Calperum Mallee,https://w3id.org/tern/resources/77de3679-cdaa-4dec-b595-6e11de3c3ec0,Calperum Mallee,https://w3id.org/tern/resources/77de3679-cdaa-4dec-b595-6e11de3c3ec0,N/A,N/A,N/A,POINT(140.586951 -34.00220833),-34.002210,140.587000,N/A,Centroid,http://linked.data.gov.au/def/tern-cv/7e2e87b6-c9ec-43ac-92b0-1976fc623c0c
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,Cumberland Plain,https://w3id.org/tern/resources/9c538b98-b6fd-40c9-85c7-9a6b441195b6,Cumberland Plain,https://w3id.org/tern/resources/9c538b98-b6fd-40c9-85c7-9a6b441195b6,N/A,N/A,N/A,POINT(150.721939 -33.61563323),-33.615630,150.721900,N/A,Centroid,http://linked.data.gov.au/def/tern-cv/7e2e87b6-c9ec-43ac-92b0-1976fc623c0c
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,"Karawatha Peri-Urban, core1ha",https://w3id.org/tern/resources/0010cbb0-ff94-4007-8acd-0ebf495aa3ac,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,Karawatha Peri-Urban,https://w3id.org/tern/resources/b6a430ed-fe09-4674-ac94-15b1f4672ce4,Karawatha Peri-Urban,https://w3id.org/tern/resources/b6a430ed-fe09-4674-ac94-15b1f4672ce4,N/A,N/A,N/A,POINT(153.08807 -27.62789),-27.627890,153.088100,N/A,Centroid,http://linked.data.gov.au/def/tern-cv/7e2e87b6-c9ec-43ac-92b0-1976fc623c0c
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,"Robson Creek, core1ha",https://w3id.org/tern/resources/a43b36cd-fa4f-43cd-b58b-f687ad536939,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.62994 -17.12141),-17.121410,145.629900,N/A,Centroid,http://linked.data.gov.au/def/tern-cv/7e2e87b6-c9ec-43ac-92b0-1976fc623c0c
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,"Tumbarumba Wet Eucalypt, core1ha",https://w3id.org/tern/resources/2004f314-b7b0-41ae-961d-3512951da18d,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,Tumbarumba Wet Eucalypt,https://w3id.org/tern/resources/b7c1aa7f-4032-4f4b-8046-2496ac708566,Tumbarumba Wet Eucalypt,https://w3id.org/tern/resources/b7c1aa7f-4032-4f4b-8046-2496ac708566,N/A,N/A,N/A,POINT(148.151726 -35.655902),-35.655900,148.151700,N/A,Centroid,http://linked.data.gov.au/def/tern-cv/7e2e87b6-c9ec-43ac-92b0-1976fc623c0c
